ID,Meal Name,Meal Time,Diet,Ingredients ,Website ,Calories 
1,Vegan Protein Shake,breakfast ,vegan ,"soy milk, peanut butter, bananas, cocoa powder, rolled oats, chia seeds, dates ",https://lovingitvegan.com/vegan-protein-shake/,279
2,"Fennel, Mango, and Avacado Smoothie",breakfast ,vegan ,"avacado, frozen mango, fennel bulb, ginger, lime juice, mint leaves, coconut water ",https://golubkakitchen.com/hydrating-fennel-mango-and-avocado-smoothie/,425
3,Seriously Good Vegan Banana Muffins ,breakfast ,vegan ,"oat milk, lemon juice, banana, oil, brown sugar, aquafaba, pure vanilla extract, all-purpose flour, sea salt, baking soda, cinnamon, nutmeg, walnuts, ground cinnamon",https://rainbowplantlife.com/vegan-banana-muffins/,330
4,Giant Brown Sugar Cinnamon Pop-Tart ,breakfast ,"vegan, gluten-free","gluten-free all purpose flour, xanthan gum, granulated sugar, salt, vegan butter, water, brown sugar, ground cinnamon, vegan butter, molasses, powdered sugar, cinnamon, almond milk, vinalla extract ",https://www.adashofmegnut.com/giant-brown-sugar-cinnamon-pop-tart/#recipe,387
5,Savory Asparagus Galette with Vegan Ricotta,Dinner,vegan ,"all-purpose flour, cornmeal, sea salt, vegan butter, water, apple cider vinegar, black pepper, plant-based milk, asparagus, extra virgin olive oil, tofu, nutritional yeast, garlic cloves, miso paste, onion powder, kosher salt, basil leaves, dill, lemon zest, lemon juice, shelling peas, tarragon",https://rainbowplantlife.com/savory-asparagus-galette-with-vegan-ricotta/#wprm-recipe-container-6647,379
6,Vegan Banana Bread ,breakfast ,vegan ,"oat milk, banana, lemon juice, aquafaba, sunflower oil, brown sugar, pure vanilla extract, all-purpose flour, sea salt, baking soda, ground cinnamon, nutmeg, dark chocolate chips, toasted walnuts, demerara sugar",https://rainbowplantlife.com/best-easy-vegan-banana-bread/,252
7,Vegan Apple Cinnamon Scones ,breakfast ,vegan ,"flax meal, water, apple cider vinegar, vanilla extract, soy milk, all purpose flour, brown sugar, ground cinnamon, baking powder, salt, vegan butter, apples, icing sugar, soy milk,  ",https://thevietvegan.com/vegan-apple-cinnamon-scones/,200
8,The Best Dang Breakfast Cookies ,breakfast ,vegan ,"flax meal, rolled oats, coconut, baking powder, baking soda, sea salt, almond butter, pure maple syrup, vanilla extract, cranberries, blueberries, sunflower seeds, nuts, hemp seeds ",https://rainbowplantlife.com/healthy-vegan-breakfast-cookies/,169
9,Peanut Butter Chocolate Chip Oatmeal Breakfast Bars,breakfast ,vegan ,"rolled oats, coconut, vanilla extract, salt, baking powder, baking soda, flax, coconut oil, nut butter",https://beamingbaker.com/peanut-butter-chocolate-chip-oatmeal-breakfast-bars-vegan-gluten-free-dairy-free/#wprm-recipe-container-21311,300
10,Vegan Sausage,breakfast ,vegan ,"quinoa, pinto beans, mushrooms, coconut aminos, raw pecans, sea salt, black pepper, garlic, thyme, rosemary, sage, paprika, fennel seeds, cayenne pepper, red pepper flake, date, oil ",https://minimalistbaker.com/easy-vegan-sausage-soy-gluten-free/#wprm-recipe-container-46547,280
11,Vegan Breakfast Burrito,breakfast ,vegan ,"cashews, coconut yogurt, salsa, water, cumin, smoked paprika, black pepper, nutritional yeast, jalapenos, salt, tofu, ground tumeric, garlic powder, onion powder, paprika, chipoltle chile flakes, kala namak, tahini, oat milk, oil, potatoes, cornstarch, red onion, lime juice, tomatoes, garlic, cilantro ",https://rainbowplantlife.com/the-best-vegan-breakfast-burritos/,700
12,Vegan Pancakes ,breakfast ,vegan,"vegan sour cream, lemon juice, soy milk, all-purpose flour, baking powder, sea salt, can sugar, pure vanilla extract, vegan butter, coconut, maple syrup",https://rainbowplantlife.com/vegan-pancakes/#recipe,400
13,Vegan Apple Cinnamon French Toast Casserole,lunch ,vegan ,"extra virgin olive oil, apple, maple syrup, cinnamon, french bread, oat milk, tofu, brown sugar, cinnamon, nutmeg, ginger, salt, vanilla extract, baking-powder, arrowroot powder, rolled oats, pecans, brown sugar, oil, non-dairy yogurt  ",https://rainbowplantlife.com/apple-cinnamon-french-toast/,431
14,Quinoa Porridge ,breakfast ,vegan,"quinoa, coconut milk, maple syrup, cinnamon, water, rasberries, mango, pecans",https://www.twospoons.ca/creamy-quinoa-porridge/,526